  60.0      -1
  70.0     138
  80.0     373
  90.0    7096
 100.0   61279
 110.0   80555
 120.0   73815
 130.0   82634
 140.0   94302
 150.0  110089
 160.0  136262
 170.0  195715
 180.0  262483
 190.0  325064
 200.0  374462
 210.0  404877
 220.0  415862
 230.0  414131
 240.0  406016
 250.0  392880
 260.0  376017
 270.0  356633
 280.0  335776
 290.0  314299
 300.0  292865
 310.0  271959
 320.0  251916
 330.0  232951
 340.0  215185
 350.0  198669
 360.0  183403
 370.0  169354
 380.0  156466
 390.0  144670
 400.0  133891
 410.0  124049
 420.0  115068
 430.0  106873
 440.0   99394
 450.0   92564
 460.0   86324
 470.0   80617
 480.0   75394
 490.0   70608
 500.0   66217
 510.0   62185
 520.0   58477
 530.0   55064
 540.0   51917
 550.0   49012
 560.0   46328
 570.0   43844
 580.0   41543
 590.0   39408
 600.0   37424
